smallest so far: (474883, 1.002946220389957)
new smallest: (783169, 1.0022690159662961)

palindrome totients:

(67335, 35376, True, 1.9034090909090908)
(68202, 22680, True, 3.007142857142857)
(69271, 67912, True, 1.020011190952998)
(71280, 17280, True, 4.125)
(73926, 23976, True, 3.0833333333333335)
(74259, 47952, True, 1.5486111111111112)
(74922, 24972, True, 3.0002402691013934)
(75841, 75184, True, 1.0087385613960418)
(78120, 17280, True, 4.520833333333333)
(78210, 18720, True, 4.177884615384615)
(82026, 22680, True, 3.6166666666666667)
(84283, 83248, True, 1.0124327311166634)
(85041, 51480, True, 1.6519230769230768)
(86965, 69568, True, 1.250071872125115)
(87109, 79180, True, 1.1001389239706996)
(89268, 28896, True, 3.0892857142857144)
(89982, 29988, True, 3.0006002400960385)
(90282, 29280, True, 3.0834016393442623)
(94206, 26904, True, 3.5015611061552185)
(94813, 93148, True, 1.017874779920127)
(95217, 59712, True, 1.5946040996784565)
(98802, 29880, True, 3.3066265060240965)
(114109, 111904, True, 1.0197043894766944)
(116503, 115360, True, 1.0099081137309294)
(119221, 112192, True, 1.062651525955505)
(140083, 138040, True, 1.0148000579542162)
(152301, 101532, True, 1.5000295473348304)
(157021, 150172, True, 1.0456077031670352)
(160731, 107136, True, 1.5002520161290323)
(162619, 161296, True, 1.008202311278643)
(166017, 110676, True, 1.5000271061476742)
(167569, 157696, True, 1.062607802353896)
(175821, 115872, True, 1.517372618061309)
(176481, 117648, True, 1.500076499388005)
(176569, 175696, True, 1.0049688097623168)
(176931, 117936, True, 1.5002289377289377)
(179631, 119736, True, 1.500225496091401)
(180261, 120168, True, 1.5000748951467946)
(181465, 145168, True, 1.2500344428524193)
(182401, 181204, True, 1.0066058144411822)
(186021, 112680, True, 1.6508785942492012)
(191607, 110976, True, 1.7265625)
(192087, 109728, True, 1.7505741469816274)
(193167, 117936, True, 1.6378968253968254)
(194181, 119184, True, 1.6292539267015707)
(199627, 197296, True, 1.0118147352201767)
(200516, 100256, True, 2.0000398978614746)
(201123, 123120, True, 1.6335526315789475)
(201679, 196720, True, 1.0252084180561203)
(205126, 102562, True, 2.000019500399758)
(205916, 102956, True, 2.000038851548234)
(208413, 132840, True, 1.5689024390243902)
(210526, 105262, True, 2.000019000209002)
(211065, 112560, True, 1.875133262260128)
(212101, 210112, True, 1.0094663798355163)
(215708, 107852, True, 2.000037087861143)
(217508, 108752, True, 2.0000367809327644)
(224269, 222496, True, 1.0079686825830576)
(228051, 152028, True, 1.5000591996211223)
(243007, 237040, True, 1.0251729665879177)
(245012, 122504, True, 2.000032651995037)
(248104, 124048, True, 2.0000644911647103)
(250126, 125062, True, 2.0000159920679343)
(250196, 125096, True, 2.0000319754428597)
(250412, 125204, True, 2.000031947861091)
(251926, 125962, True, 2.000015877804417)
(251984, 125984, True, 2.0001270002540004)
(256401, 165240, True, 1.5516884531590414)
(256761, 167256, True, 1.5351377529057253)
(257168, 128576, True, 2.0001244400199103)
(259018, 129508, True, 2.0000154430614323)
(259136, 129536, True, 2.000494071146245)
(259918, 129958, True, 2.0000153895874053)
(261259, 259216, True, 1.0078814579346953)
(275103, 175032, True, 1.5717297408473878)
(277621, 276172, True, 1.0052467302985095)
(281517, 185712, True, 1.5158794262083226)
(281805, 150288, True, 1.8750998083679336)
(281997, 187992, True, 1.500047874377633)
(284029, 282940, True, 1.0038488725524846)
(284301, 183240, True, 1.5515225933202357)
(285109, 259180, True, 1.1000424415464156)
(289071, 192708, True, 1.5000467027834858)
(293001, 193200, True, 1.5165683229813665)
(301044, 100344, True, 3.000119588615164)
(302181, 183120, True, 1.6501802096985583)
(308124, 102384, True, 3.009493670886076)
(310446, 103464, True, 3.0005219206680587)
(310635, 150336, True, 2.066271551724138)
(312658, 156328, True, 2.000012793613428)
(320643, 204336, True, 1.5691948555320647)
(321702, 107232, True, 3.0000559534467324)
(326516, 163256, True, 2.0000245013965796)
(326518, 163258, True, 2.000012250548212)
(340285, 235840, True, 1.4428638059701493)
(344169, 196344, True, 1.7528877887788779)
(348219, 231984, True, 1.5010474860335195)
(352221, 232512, True, 1.5148508464079273)
(371244, 123744, True, 3.0000969743987587)
